CODVIA,DESVIA,CIRCOS,MUNICIPIO,PARITA,COLCIV,INIZIO,FINE
21600,PIAZZA RAFFAELE DE FERRARI,12,1,D,N,3,3
39740,VIA GIOVANNI MONLEONE,23,8,D,N,3,3
62240,VIA ANTONIO TRAVI,4,6,P,R,6,84
53720,VIA LUIGI RIZZO,3,7,D,N,11,155F
45600,VIA PAPIGLIANO,22,8,P,R,2,26
22140,VIA ITALO D'ERAMO,24,9,D,N,1,11
22600,VIA DODECANESO,23,8,P,N,14,52
17760,SALITA DI COCCAGNA,12,1,D,R,1,7
24650,VIA GIUSEPPE FEDELINI,2,7,D,N,61,73
12960,VIA DEI CARPENTIERI,5,5,P,N,2,80
3780,PASSO DEI BARABINI,6,5,D,N,1,1
23960,VIA ERZE,25,9,P,N,2,22
37820,VIA GIACOMO MEDICI DEL VASCELLO,23,8,P,N,4,8
6760,VIA BOLANO,21,9,P,N,2,24
34060,SALITA LOGGIA,20,4,P,N,2,56
44560,VIALE PADRE SANTO,12,1,D,N,1,5A
39780,SALITA MONTAGNOLA DELLA MARINA,12,1,P,N,2,10
60420,VICO TACCONI,12,1,D,R,1,3
7500,VIA CARLO BOSIO,23,8,D,N,9,27
38160,PIAZZA DELLA MERIDIANA,12,1,D,R,1,23
44460,VIA DELLA PACE,14,1,P,R,2,18
15240,SALITA CERESOLA,6,5,D,N,1,5
57400,VIA ANGELO SCRIBANTI,22,8,D,R,3,51
24340,VIA FAONE,3,7,P,N,28,32
14020,VIA CASTAGNEVIZZA,3,7,D,N,3,19
25360,PIAZZETTA DI SAN FILIPPO,12,1,P,N,2,2
61920,VIA EVANGELISTA TORRICELLI,21,9,D,R,1,7
63280,VIA VARENNA,3,7,D,R,89,143
23580,VIA SANT'ELMO,25,9,D,N,3,7
540,VIA BATTISTA AGNESE,9,2,D,N,1,3
46170,VIA FRANCESCO PASTONCHI,17,3,D,N,51,57
31120,VIA DELLE GRAZIE,12,1,D,R,1,85
6610,VIA MARIO BOEDDU,4,6,P,N,8,12
45700,VICO CHIUSO LORENZO PARETO,15,8,D,N,5,7
63520,VICO VEGETTI,12,1,P,N,2,28
48080,VIA ALBERTO PICCO,3,7,P,N,2C,6
42570,GIARDINI ALBERTO NOBILE,18,4,P,N,0X,0X
26940,VIA GIUSEPPE FRASSINELLO,5,5,D,N,1,1
13400,VICO DEI CASAREGGIO,12,1,P,N,2,12
1040,VIA VITTORIO ALFIERI,9,2,D,N,1,7
13040,VIA BARTOLOMEO CARREA,9,2,D,R,3,99
49040,PIAZZA BERNARDO POCH,4,6,D,R,1,23
15380,VIA NINO CERVETTO,8,6,P,R,2,40
34380,VIA SAN LUCA D'ALBARO,23,8,D,N,7,63
48420,VIA PIEVE DI TECO,2,7,D,N,1,21
3880,VIA DELLE BARACCHE,18,4,P,N,2,2
2780,PIAZZA ARTORIA,17,3,D,N,1,3
27460,VIA LAZZARO GAGLIARDO,10,2,P,R,8,16
44460,VIA DELLA PACE,14,1,D,R,1,1
2540,VIA ARGONAUTI,24,9,D,N,1,17A
46550,VIA ROSA VIRGINIA PELLETIER,23,8,P,N,4,10
2440,VIA DELL'ARENA,24,9,D,R,25,25
89110,AUTOSTRADA A7 GENOVA-MILANO,2,7,P,N,0,0
19920,VIA GIOVANNI COSTANZI,13,1,D,N,1,11
40150,VIA MONTE CORNO,25,9,D,N,1,25
38250,VIA SIBILLA MERTENS,24,9,P,N,2,22
11380,VIA CANNETO DI APPARIZIONE,21,9,D,N,1,35
37420,VIA ANGELO MASINA,17,3,D,R,1,53
6480,VICO BOCCANEGRA,12,1,D,R,1,23
9980,VIA CALCINARA,17,3,P,N,2,8
42050,VIA ANTONIO NEGRO,4,6,P,N,2,18
57820,SALITA SERINO,20,4,D,N,1,59
680,VICO ALABARDIERI,12,1,D,N,3,3
19340,TRAVERSA ALLA COSTA,4,6,P,N,2,14
10240,VICO DELLE CAMELIE,12,1,D,N,5,7
29940,VIA GIACOMO GIOVANETTI,9,2,D,N,1,15
44540,VIA SIMONE PACORET DE SAINT BON,3,7,D,R,1,17
6020,VIA BARTOLOMEO BIANCO,10,2,P,N,34,172
14280,VIA CASTELLO DI PINO,19,4,D,N,1,27
57540,VIA DI SCURRERIA,12,1,P,R,2,48
51640,VIA GIACOMO PUCCINI,4,6,D,R,1,73
13740,VIA FILIPPO CASONI,16,3,D,N,1,5
17680,VICO PIER MARIA CIURLO,9,2,P,N,2,4
17860,VIA DINO COL,10,2,D,R,3,7
17200,VIA DOMENICO CIMAROSA,24,9,D,N,1,3
37880,VIA MELEGARI,10,2,P,N,2,26
54580,SALITA SUPERIORE SALVATOR ROSA,9,2,D,R,19,27
17035,MOLO PADRE TEODORO CIARAFONI,3,7,P,N,0X,0X
34580,VIA LUOGHI SANTI,21,9,P,N,14,14
38320,VICO DI MEZZAGALERA,12,1,P,N,2,4
33000,VIA LAVAGNINO,4,6,P,N,2,8
47140,VIA ENRICO PESCATORE,4,6,D,N,1,3
43590,PIAZZA DELL'OLMO,19,4,P,N,2,6
